policy,p999_latency_us,cvar999_us,load_regime
random,7264.47291034695,7270.921089089622,low
random,6167.716547131822,6182.887250972939,low
random,6546.280039833817,6574.327349380979,low
random,5143.3877623825,5260.735274139179,low
random,8495.782933031205,8512.644129321174,low
random,5904.946457023193,5936.805005194479,low
random,5258.342869712881,5263.832054091971,low
random,5668.333514899776,5677.822171582262,low
random,5666.766476787612,5688.730865611251,low
random,5324.202577788248,5332.2900753789,low
random,6029.9305541584645,6035.493759939753,low
random,4788.180841768619,4810.15622341899,low
random,4796.921578997189,4799.047344704322,low
random,7172.046418133369,7275.730481628484,low
random,5619.336924771956,5648.19548740021,low
random,6436.311860802975,6438.4326410934445,low
random,5490.076503753514,5515.652501693476,low
random,7219.470163641635,7281.982522170945,low
random,6157.010302015935,6218.117834369593,low
random,6091.727324655885,6152.1028359304055,low
random,6343.186535457892,6365.0562687995425,low
random,5264.034627175858,5309.956592762436,low
random,10141.57653339578,10191.369211860205,low
random,6184.606026850851,6296.1670429473015,low
random,5791.653472729749,5799.225148107642,low
random,5361.642986601517,5392.269592886759,low
random,5499.83690717053,5509.6464648536285,low
random,5342.68758604329,5356.816838460223,low
random,6448.274940238626,6524.964916972787,low
random,7457.261023624321,7486.479087143616,low
random,5345.34982325246,5354.4349281504665,low
random,6514.949954308457,6585.489172291933,low
random,7754.543965954779,7790.5173635242045,low
random,5803.05505421024,5846.050565142721,low
random,6776.179528715634,6808.12672335521,low
random,7352.6424416954815,7356.119312652469,low
random,6334.481849700978,6391.07846130518,low
random,4535.491236779762,4545.117580861703,low
random,6252.116619766875,6263.755290887333,low
random,6757.122411219582,6803.493799730573,low
random,6349.274570412901,6369.99958327163,low
random,6571.823081248475,6580.8544814311335,low
random,5105.523509571002,5141.776996285346,low
random,7542.7819260184915,7557.151249106007,low
random,5960.827198488234,5984.324148617583,low
random,6185.889007058765,6215.820049610782,low
random,6483.818655404512,6488.256235663714,low
random,7214.746283230234,7240.074826509626,low
random,6277.288592657024,6303.460442045405,low
random,6703.371343424901,6722.01191337654,low
random,7466.70392253592,7490.641579061461,low
random,4796.931541062531,4865.906106775536,low
random,7664.360534770284,7674.714198263715,low
random,5769.904536843897,5824.577244180817,low
random,6419.815694261025,6450.0744848717895,low
random,6198.265044650567,6206.715394622465,low
random,5015.766231675372,5049.7942892498995,low
random,7761.945683147149,7786.537670416781,low
random,7953.02179728856,8018.205815375538,low
random,5563.309720757359,5588.753262881985,low
random,7587.613945078602,7596.556952871075,low
random,4261.6489952512175,4276.497965127444,low
random,6559.916808045286,6592.144090979409,low
random,6137.459045288196,6262.406367900126,low
random,6230.427828581943,6276.30483648019,low
random,5873.4243262416285,5894.163864979708,low
random,6404.342291849705,6468.699395484926,low
random,5692.227151208605,5720.493446908273,low
random,7141.935730552401,7153.503463257489,low
random,7647.679038210511,7659.236495327535,low
random,7192.202072929835,7226.814739453001,low
random,5830.9441136755,5848.014053934863,low
random,4578.964865327159,4600.350467353973,low
random,5388.443556549862,5470.372801994621,low
random,5810.902881731487,5845.476986307899,low
random,6420.699718516461,6438.3698539352645,low
random,4922.043947394803,4942.8237655314915,low
random,5521.076513426981,5539.73193497801,low
random,7066.658318362847,7094.65140139609,low
random,5169.302829569107,5213.234956162444,low
random,8016.449782580649,8037.042012416159,low
random,5432.100371302283,5500.678503854548,low
random,7179.53451644617,7188.3651639636755,low
random,5699.087752463837,5770.5513502048325,low
random,6523.147145235171,6539.789298987071,low
