policy,mean_backlog_us,max_backlog_us,load_regime
SIT-safe,2394.8223877361534,2611.9537696887855,low
SIT-safe,1929.1603120786892,2383.044972146803,low
SIT-safe,2391.4690584336417,2650.7524403966963,low
SIT-safe,2551.746146537155,3233.690461412829,low
SIT-safe,2429.6378809606063,2833.003390183847,low
SIT-safe,2486.875510872774,2735.3074409982655,low
SIT-safe,1979.707024005795,2380.249289606756,low
SIT-safe,2249.0385588586755,2536.4574218674097,low
SIT-safe,2619.4673790776696,3393.2844491674623,low
SIT-safe,2477.664252677862,2849.985837832268,low
SIT-safe,2298.615731776772,2503.5179841522477,low
SIT-safe,2039.7455808944605,2423.1171185462154,low
SIT-safe,2320.245933795169,2649.552577948707,low
SIT-safe,2540.7743680612193,3457.8491318569795,low
SIT-safe,2528.59648638383,2868.965638681315,low
SIT-safe,2399.2686677612924,2642.311431385402,low
SIT-safe,1942.571610550202,2304.234038804774,low
SIT-safe,2388.827463460059,2681.8087170424405,low
SIT-safe,2544.2248830447224,3575.940413779579,low
SIT-safe,2430.366596493095,2834.1160569454078,low
SIT-safe,2479.706605794574,2682.6361675669905,low
SIT-safe,1988.8830440352797,2348.3680429962697,low
SIT-safe,2256.8983943169887,2599.5044414765434,low
SIT-safe,2617.807291101546,4009.7264645644464,low
SIT-safe,2477.8667084026456,3152.276444699033,low
SIT-safe,2298.8243478413574,2481.270725626324,low
SIT-safe,2043.316417530187,2447.8999168073788,low
SIT-safe,2323.3155574447287,2588.082093928242,low
SIT-safe,2537.345580334854,3432.1926877475344,low
SIT-safe,2548.5305064340264,2996.9535697230895,low
SIT-safe,2400.551269213559,2652.5913659472717,low
SIT-safe,1945.9990657334456,2415.3800637100358,low
SIT-safe,2387.4843899476386,2690.3019638226833,low
SIT-safe,2544.180553277831,3573.21311670047,low
SIT-safe,2426.888466485161,2780.798268907136,low
SIT-safe,2484.217311682991,2759.1338727521215,low
SIT-safe,1972.0613715856493,2423.754192301916,low
SIT-safe,2248.056496923945,2547.9363446493517,low
SIT-safe,2609.275422034367,3480.927389534889,low
SIT-safe,2477.474004793008,2812.3164655728615,low
SIT-safe,2293.9893318068707,2463.374161672371,low
SIT-safe,2039.5462953372846,2396.303027982329,low
SIT-safe,2322.2790253626044,2672.3221511390184,low
SIT-safe,2530.8440335481196,3465.862663723936,low
SIT-safe,2543.434480226049,2873.694968678523,low
SIT-safe,2399.3427431620003,2600.5545843763393,low
SIT-safe,1926.9544770505347,2313.1960429669125,low
SIT-safe,2382.800187633386,2709.748149055231,low
SIT-safe,2571.0567989920733,3528.640438531176,low
SIT-safe,2434.09534483218,2805.203186592669,low
SIT-safe,2481.518379383594,2730.047147423349,low
SIT-safe,1982.1998532923958,2325.464584283385,low
SIT-safe,2258.55014212808,2499.7771911722302,low
SIT-safe,2603.3852808637894,3578.180456676346,low
SIT-safe,2482.0254584325476,2818.77060087421,low
SIT-safe,2297.1974680426874,2499.7113668922466,low
SIT-safe,2033.8290809275002,2340.222477105097,low
SIT-safe,2321.640394364345,2619.559245009543,low
SIT-safe,2534.8407009100497,3206.1480500996113,low
SIT-safe,2535.0175515263572,2899.3035319222254,low
SIT-safe,2403.96655172111,2623.8632069879677,low
SIT-safe,1943.2648584910162,2336.0956235250924,low
SIT-safe,2390.584376070136,2675.8722517885035,low
SIT-safe,2549.860354788549,3425.0018344911514,low
SIT-safe,2430.7417906432197,2780.2896190742613,low
SIT-safe,2482.4658831738775,2688.2200395419495,low
SIT-safe,1980.9701928943089,2344.4016822628328,low
SIT-safe,2252.381675913151,2677.1000963300467,low
SIT-safe,2628.6884763395637,3325.5879094661796,low
SIT-safe,2487.221980041272,2942.4082733454416,low
SIT-safe,2302.8786858138265,2559.747392328689,low
SIT-safe,2039.0241640513063,2557.9992840788327,low
SIT-safe,2316.232317154169,2608.9619234964484,low
SIT-safe,2552.668054124851,3684.888671466935,low
SIT-safe,2539.360239020243,3018.90589410183,low
SIT-safe,2396.711437859602,2666.5144900841406,low
SIT-safe,1937.8686226161594,2397.857223398474,low
SIT-safe,2384.972006580149,2744.730439588311,low
SIT-safe,2556.9522255002325,3603.2944740125677,low
SIT-safe,2436.2932806162044,2937.430718124756,low
SIT-safe,2486.419621912152,2746.509279746446,low
SIT-safe,1984.810602009145,2349.830723074614,low
SIT-safe,2249.6898666476395,2502.0665023615584,low
SIT-safe,2600.0102758292837,3496.19212725322,low
SIT-safe,2478.5095554293107,2858.7250888952985,low
SIT-safe,2298.595171756544,2536.917054829304,low
partition,482.9061945277142,819.0875424463975,low
partition,708.1672901730279,1030.111899409836,low
partition,1268.1884452539748,2333.2102707446393,low
partition,724.1850109995065,1132.8119374640228,low
partition,504.2363748534271,705.2784306076937,low
partition,473.87675495939385,981.4915722563164,low
partition,700.6730176965801,984.7968006540032,low
partition,1271.3604358248604,2372.9048777254065,low
partition,720.930992486516,1074.4137102789828,low
partition,494.86892144722066,702.7848845265107,low
partition,482.2934403726551,882.6665341900734,low
