interference_regime,load_regime,compared_to,sit_cvar99,baseline_cvar99,cvar_improvement_pct,sit_effective_goodput_rps,baseline_effective_goodput_rps,goodput_improvement_pct,sit_catastrophes,baseline_catastrophes,fewer_catastrophes,sit_dominates
drifting,saturation,k8s-default,72947.31,74095.48,1.55,2921.48,2863.11,2.04,0,0,True,True
drifting,saturation,slurm-fcfs,72947.31,80529.21,9.42,2921.48,2344.38,24.62,0,0,True,True
drifting,saturation,triton-proxy,72947.31,87586.78,16.71,2921.48,1957.5,49.25,0,0,True,True
heavy_tail_burst,high,SIT-no-IRBS,151734.57,187992.88,19.29,8009.53,6305.44,27.03,0,0,True,True
heavy_tail_burst,high,SIT-no-safety,151734.57,206673.37,26.58,8009.53,8469.57,-5.43,0,0,True,False
heavy_tail_burst,high,SIT-no-admission,151734.57,154901.4,2.04,8009.53,8324.99,-3.79,0,0,True,False
heavy_tail_burst,high,partition,151734.57,190514.79,20.36,8009.53,3880.3,106.42,0,0,True,True
heavy_tail_burst,high,spread,151734.57,146974.24,-3.24,8009.53,4855.16,64.97,0,0,True,True
heavy_tail_burst,high,random,151734.57,186117.41,18.47,8009.53,5399.06,48.35,0,0,True,True
heavy_tail_burst,high,round-robin,151734.57,444619.13,65.87,8009.53,5474.88,46.3,0,0,True,True
heavy_tail_burst,high,binpack-greedy,151734.57,195371.88,22.34,8009.53,4361.12,83.66,0,0,True,True
heavy_tail_burst,high,tail-greedy,151734.57,186689.38,18.72,8009.53,7897.3,1.42,0,0,True,True
heavy_tail_burst,high,similarity-avoidance,151734.57,155694.9,2.54,8009.53,6882.74,16.37,0,0,True,True
heavy_tail_burst,high,admission-only,151734.57,175695.69,13.64,8009.53,5503.31,45.54,0,0,True,True
heavy_tail_burst,high,oracle,151734.57,253425.33,40.13,8009.53,7947.67,0.78,0,0,True,True
heavy_tail_burst,high,static-low,151734.57,188045.37,19.31,8009.53,5819.73,37.63,0,0,True,True
heavy_tail_burst,high,static-high,151734.57,238256.43,36.31,8009.53,6230.0,28.56,0,0,True,True
heavy_tail_burst,high,k8s-hpa,151734.57,160284.27,5.33,8009.53,7886.87,1.56,0,0,True,True
