metric,policy,baseline,interference_regime,load_regime,mean_diff,ci_lo,ci_hi,p_value,cohens_d,n,q_value,significant
cvar99_us,binpack-greedy,partition,heavy_tail_burst,medium,1092.297,-11844.6098,10956.5386,0.419,0.0132,200,0.749516,False
cvar99_us,tail-greedy,partition,heavy_tail_burst,medium,-11365.9292,-23906.0274,-760.6243,0.019,-0.1365,200,0.044488,True
cvar99_us,similarity-avoidance,partition,heavy_tail_burst,medium,-6072.8673,-18159.215,4476.7461,0.165,-0.072,200,0.341461,False
cvar99_us,admission-only,partition,heavy_tail_burst,medium,4631.5143,-10048.6473,21337.7732,0.269,0.0409,200,0.521697,False
cvar99_us,oracle,partition,heavy_tail_burst,medium,-7350.2095,-19847.0304,3320.3011,0.102,-0.0895,200,0.2176,False
cvar99_us,static-low,partition,heavy_tail_burst,medium,-9015.874,-21693.981,2140.438,0.063,-0.1045,200,0.139928,False
cvar99_us,static-high,partition,heavy_tail_burst,medium,1707.1839,-10703.1165,12456.2359,0.385,0.0202,200,0.703256,False
cvar99_us,k8s-hpa,partition,heavy_tail_burst,medium,-2465.2085,-14364.8703,8578.0859,0.329,-0.0286,200,0.622686,False
cvar99_us,k8s-default,partition,heavy_tail_burst,medium,-522.262,-12125.1778,10292.2435,0.482,-0.0061,200,0.837924,False
cvar99_us,slurm-fcfs,partition,heavy_tail_burst,medium,-4553.4756,-15835.9922,7051.887,0.227,-0.0526,200,0.451908,False
cvar99_us,triton-proxy,partition,heavy_tail_burst,medium,585.7121,-12065.2702,11891.142,0.483,0.0069,200,0.837135,False
cvar99_us,SIT-safe,partition,heavy_tail_burst,saturation,-18048.6895,-90216.953,46446.349,0.288,-0.0372,200,0.553575,False
cvar99_us,SIT-no-IRBS,partition,heavy_tail_burst,saturation,32962.3155,-57901.926,136980.7652,0.26,0.0497,200,0.507661,False
cvar99_us,SIT-no-safety,partition,heavy_tail_burst,saturation,-977.4464,-71097.929,69801.7475,0.469,-0.002,200,0.821939,False
cvar99_us,SIT-no-admission,partition,heavy_tail_burst,saturation,-16821.9218,-82829.0591,49373.4264,0.307,-0.0363,200,0.586183,False
cvar99_us,spread,partition,heavy_tail_burst,saturation,-13395.9281,-87604.153,63526.0954,0.361,-0.0233,200,0.667174,False
cvar99_us,random,partition,heavy_tail_burst,saturation,-4845.6392,-66433.7893,54719.9505,0.467,-0.0108,200,0.820098,False
cvar99_us,round-robin,partition,heavy_tail_burst,saturation,-16796.762,-86348.9086,36246.8183,0.253,-0.0379,200,0.4968,False
cvar99_us,binpack-greedy,partition,heavy_tail_burst,saturation,38818.1445,-50643.0095,130966.1964,0.215,0.0575,200,0.430998,False
cvar99_us,tail-greedy,partition,heavy_tail_burst,saturation,1696.2595,-65834.8266,75496.2634,0.48,0.0033,200,0.835287,False
cvar99_us,similarity-avoidance,partition,heavy_tail_burst,saturation,-36118.4745,-98379.7748,24734.6093,0.129,-0.0807,200,0.270196,False
cvar99_us,admission-only,partition,heavy_tail_burst,saturation,-35887.1016,-92830.3911,17033.6007,0.105,-0.0881,200,0.223173,False
cvar99_us,oracle,partition,heavy_tail_burst,saturation,-50069.7069,-108714.5462,5443.2963,0.037,-0.1214,200,0.084237,False
cvar99_us,static-low,partition,heavy_tail_burst,saturation,-31571.6042,-107459.807,46959.7344,0.205,-0.0561,200,0.414801,False
cvar99_us,static-high,partition,heavy_tail_burst,saturation,-8584.6735,-74736.8671,52506.4618,0.376,-0.0195,200,0.689732,False
cvar99_us,k8s-hpa,partition,heavy_tail_burst,saturation,-28650.0083,-90147.5015,27221.8008,0.156,-0.0687,200,0.323611,False
cvar99_us,k8s-default,partition,heavy_tail_burst,saturation,-10879.5853,-83310.7079,56631.0663,0.384,-0.0214,200,0.702171,False
cvar99_us,slurm-fcfs,partition,heavy_tail_burst,saturation,-25104.754,-87618.215,29871.5243,0.204,-0.0592,200,0.413261,False
cvar99_us,triton-proxy,partition,heavy_tail_burst,saturation,4127.386,-66487.7457,78246.5289,0.473,0.0081,200,0.826435,False
cvar99_us,SIT-safe,partition,iid_noise,high,5560.2905,5464.3129,5659.2138,0.001,7.6614,200,0.00374,True
cvar99_us,SIT-no-IRBS,partition,iid_noise,high,8582.9429,8338.2429,8833.2616,0.001,4.9637,200,0.003732,True
cvar99_us,SIT-no-safety,partition,iid_noise,high,10447.8243,10278.2167,10611.9582,0.001,8.8133,200,0.003724,True
